num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,entropy_loss,value_loss,policy_gradient_loss
2452,237568,170.9097888469696,564.66,2.36140609305445,-0.1330641359090805,2.351755083189346,0.009651009865104315
2453,238592,171.66262674331665,583.14,2.358918237144568,-0.1330879833549261,2.361408579570707,-0.0024903424261389544
2454,239616,172.37956047058105,601.0,2.2152919950449013,-0.15007707849144936,2.212765487493016,0.0025265075518856963
2455,240640,173.15042924880981,619.38,2.4220307586849588,-0.17283206433057785,2.4247304502059706,-0.002699691521011722
2456,241664,173.92154574394226,637.32,2.383471104161743,-0.19398296624422073,2.38681853946764,-0.0033474353058974074
2457,242688,174.66879296302795,655.8,2.3695783840197393,-0.20643816888332367,2.370066236006096,-0.0004878519863566616
2458,243712,175.3859944343567,673.58,2.378751284420245,-0.2100753616541624,2.381168537773192,-0.002417253352946831
2459,244736,176.16499757766724,690.94,2.509482657794291,-0.21265061013400555,2.510495451511815,-0.0010127937175243209
2460,245760,176.91345977783203,708.38,2.562716878851562,-0.20203095860779285,2.5596208188217133,0.0030960600298491
2461,246784,177.5644826889038,726.04,2.6224984060321885,-0.20273110456764698,2.6245140451937914,-0.0020156391616028835
2462,247808,178.2827913761139,743.68,2.6294996505471246,-0.2075426708906889,2.6318586360430345,-0.0023589854959096875
2464,248832,179.02115058898926,766.02,2.609171219188431,-0.2030385471880436,2.613879930926487,-0.004708711738055838
2465,249856,179.71875619888306,783.64,5.302734351946276,-0.1971935946494341,5.302724804030731,9.547915544882036e-06
2467,250880,180.46143198013306,810.12,2.3380418593960512,-0.16338682733476162,2.340634928783402,-0.002593069387350848
2467,251904,181.20317363739014,810.12,5.385919241578463,-0.16095961444079876,5.387302688788623,-0.001383447210159008
2469,252928,181.91702103614807,845.4,0.048854829918269616,-0.14322592318058014,0.05150970700196922,-0.002654877083699611
2469,253952,182.66534805297852,845.4,5.500376253995669,-0.1425679326057434,5.503020761534572,-0.002644507538903034
